date,max,average,min,precipitation,rain,city
1/8/16,63,62,57,2.83,1,0
1/9/16,63,59.3,52,1.23,1,0
1/10/16,64,62.6,61,2.88,1,0
1/11/16,64,58.7,50,4.60,1,0
1/12/16,61,53.9,46,0.00,0,0
1/13/16,63,55.3,48,0.00,0,0
1/14/16,63,58.4,55,3.06,1,0
1/15/16,63,56.3,50,0.00,0,0
1/16/16,59,53.3,50,0.00,0,0
1/17/16,59,52,48,1.13,1,0
1/18/16,63,54,46,0.07,1,0
1/19/16,61,54.6,45,5.60,1,0
1/20/16,63,59,55,0.39,1,0
1/21/16,64,60.5,57,3.19,1,0
1/22/16,66,61.5,59,0.43,1,0
1/23/16,64,61.2,59,0.27,1,0
1/24/16,64,61,59,0.19,1,0
1/25/16,64,58.8,52,12.32,1,0
1/26/16,64,54.7,48,0.11,1,0
1/27/16,59,53.7,46,0.00,0,0
1/28/16,61,54.8,50,5.71,1,0
1/29/16,63,54.6,48,0.00,0,0
1/30/16,64,55.9,50,0.00,0,0
1/31/16,64,56.2,48,0.00,0,0
2/1/16,68,58.3,50,0.00,0,0
2/2/16,64,56.7,48,0.00,0,0
2/3/16,63,55.9,48,0.00,0,0
2/4/16,64,59.3,55,0.00,0,0
2/5/16,63,58.5,55,0.00,0,0
2/6/16,64,61.2,57,4.05,1,0
2/7/16,63,58.2,50,0.33,1,0
2/8/16,63,57.4,48,0.39,1,0
2/9/16,64,60.2,57,0.75,1,0
2/10/16,63,61,59,3.96,1,0
2/11/16,64,61,55,0.72,1,0
2/12/16,63,60.8,59,1.84,1,0
2/13/16,64,60.7,59,1.17,1,0
2/14/16,63,55.9,48,2.48,1,0
2/15/16,61,54.6,48,1.23,1,0
2/16/16,57,49.8,43,0.00,0,0
2/17/16,57,50.8,41,5.66,1,0
2/18/16,57,51.6,48,0.26,1,0
2/19/16,61,54.4,46,0.00,0,0
2/20/16,63,57,52,0.00,0,0
2/21/16,64,58.4,54,0.87,1,0
2/22/16,63,57.1,50,0.00,0,0
2/23/16,66,55,48,0.00,0,0
2/24/16,63,54.1,46,1.51,1,0
2/25/16,61,54.5,50,0.09,1,0
2/26/16,59,51.7,46,6.03,1,0
2/27/16,54,47.5,43,1.92,1,0
